Date,Price,Open,High,Low,Vol.,Change %
08/04/2021,1.3065,1.3128,1.3155,1.3053,58.59K,-0.50%
09/04/2021,1.3118,1.3067,1.318,1.3051,60.04K,0.41%
10/04/2021,1.3116,,,,,
12/04/2021,1.3116,1.3124,1.3168,1.3095,71.59K,-0.02%
13/04/2021,1.3087,1.3118,1.3183,1.3073,73.20K,-0.22%
14/04/2021,1.2943,1.309,1.3099,1.2923,76.00K,-1.10%
15/04/2021,1.2898,1.2941,1.2979,1.2882,73.94K,-0.35%
16/04/2021,1.2928,1.2899,1.2947,1.2886,61.33K,0.23%
18/04/2021,1.2888,,,,,
19/04/2021,1.2888,1.2923,1.2979,1.2845,67.30K,-0.31%
20/04/2021,1.2943,1.2885,1.2972,1.2793,76.06K,0.43%
21/04/2021,1.2897,1.2944,1.2989,1.2881,66.24K,-0.36%
22/04/2021,1.2972,1.29,1.3004,1.2878,71.66K,0.58%
23/04/2021,1.2907,1.2982,1.2991,1.2885,71.70K,-0.50%
25/04/2021,1.2819,,,,,
26/04/2021,1.2819,1.2912,1.2929,1.2794,50.91K,-0.68%
27/04/2021,1.2872,1.2823,1.2886,1.2811,57.18K,0.41%
28/04/2021,1.283,1.2878,1.2945,1.2816,60.78K,-0.33%
29/04/2021,1.2877,1.2835,1.2904,1.279,55.58K,0.37%
30/04/2021,1.2957,1.2878,1.2995,1.2845,60.58K,0.62%
01/05/2021,1.2957,,,,,
03/05/2021,1.2882,1.2958,1.2977,1.2875,50.78K,-0.58%
04/05/2021,1.2975,1.2881,1.303,1.2876,68.66K,0.72%
05/05/2021,1.2905,1.2977,1.2981,1.2895,47.00K,-0.54%
06/05/2021,1.2852,1.2908,1.2987,1.2839,60.31K,-0.41%
08/05/2021,1.2745,,,,,
07/05/2021,1.2745,1.2853,1.2886,1.2717,58.52K,-0.83%
10/05/2021,1.2768,1.2742,1.2778,1.2671,61.87K,0.18%
11/05/2021,1.2749,1.277,1.2788,1.2727,66.84K,-0.15%
12/05/2021,1.2942,1.2753,1.2955,1.2742,74.81K,1.51%
13/05/2021,1.2935,1.2946,1.3009,1.2908,78.92K,-0.05%
14/05/2021,1.286,1.2939,1.2965,1.2839,62.86K,-0.58%
17/05/2021,1.2872,1.2853,1.2937,1.2834,56.39K,0.09%
18/05/2021,1.2829,1.2885,1.2888,1.2796,56.10K,-0.33%
19/05/2021,1.2937,1.2832,1.2968,1.2823,68.50K,0.84%
20/05/2021,1.2858,1.2938,1.296,1.285,58.00K,-0.61%
21/05/2021,1.293,1.286,1.2955,1.2847,54.22K,0.56%
24/05/2021,1.2897,1.2933,1.2977,1.2889,49.72K,-0.26%
25/05/2021,1.29,1.29,1.2932,1.2858,55.43K,0.02%
26/05/2021,1.2918,1.2903,1.2936,1.2824,70.83K,0.14%
27/05/2021,1.2907,1.292,1.295,1.2889,87.08K,-0.09%
28/05/2021,1.2962,1.2915,1.3026,1.2905,59.57K,0.43%
31/05/2021,1.293,1.297,1.2987,1.2915,46.84K,-0.25%
01/06/2021,1.2893,1.2929,1.2936,1.287,53.61K,-0.29%
02/06/2021,1.2897,1.2894,1.2962,1.2864,46.07K,0.03%
03/06/2021,1.3055,1.2896,1.3082,1.2895,47.62K,1.23%
04/06/2021,1.2922,1.3058,1.3071,1.2909,47.41K,-1.02%
07/06/2021,1.2895,1.2917,1.2946,1.2875,33.70K,-0.21%
08/06/2021,1.2915,1.2888,1.2934,1.288,41.58K,0.16%
09/06/2021,1.2935,1.292,1.2946,1.2881,41.05K,0.15%
10/06/2021,1.2897,1.2934,1.2957,1.2879,52.41K,-0.29%
11/06/2021,1.2974,1.2895,1.3009,1.2859,35.63K,0.60%
14/06/2021,1.2965,1.2979,1.3,1.2943,35.42K,-0.07%
15/06/2021,1.3002,1.2967,1.3032,1.2958,45.58K,0.29%
16/06/2021,1.3137,1.3008,1.3147,1.296,52.60K,1.04%
17/06/2021,1.3242,1.3139,1.3264,1.3079,68.68K,0.80%
18/06/2021,1.3371,1.324,1.3376,1.3224,74.77K,0.97%
21/06/2021,1.3268,1.3362,1.3376,1.3249,70.85K,-0.77%
22/06/2021,1.3236,1.3275,1.3345,1.3218,59.08K,-0.24%
23/06/2021,1.3198,1.3238,1.3268,1.3157,51.15K,-0.29%
24/06/2021,1.3186,1.3199,1.3218,1.317,52.40K,-0.09%
25/06/2021,1.3179,1.3189,1.3195,1.3127,53.39K,-0.05%
28/06/2021,1.3212,1.3178,1.3239,1.3147,47.00K,0.25%
29/06/2021,1.331,1.3213,1.3321,1.3207,51.05K,0.74%
30/06/2021,1.3332,1.3312,1.3348,1.3283,46.24K,0.17%
01/07/2021,1.3383,1.3337,1.3405,1.3318,45.11K,0.38%
02/07/2021,1.3284,1.3387,1.3432,1.3273,45.76K,-0.74%
05/07/2021,1.3278,1.3291,1.3319,1.3266,49.23K,-0.05%
06/07/2021,1.3337,1.328,1.3369,1.3157,82.56K,0.44%
07/07/2021,1.3364,1.3337,1.3402,1.327,54.25K,0.20%
08/07/2021,1.3459,1.3363,1.3484,1.3351,74.92K,0.71%
09/07/2021,1.3356,1.3461,1.3497,1.3342,57.35K,-0.77%
12/07/2021,1.3374,1.3365,1.3427,1.3339,53.26K,0.13%
13/07/2021,1.3423,1.3378,1.3464,1.3326,45.57K,0.37%
14/07/2021,1.3365,1.3428,1.3457,1.3356,50.02K,-0.43%
15/07/2021,1.3461,1.3367,1.3493,1.3355,50.64K,0.72%
16/07/2021,1.3506,1.3463,1.3528,1.3434,51.45K,0.33%
19/07/2021,1.3611,1.3511,1.3657,1.3483,68.49K,0.78%
20/07/2021,1.3635,1.3616,1.3704,1.359,62.60K,0.18%
21/07/2021,1.3587,1.3639,1.372,1.3582,48.60K,-0.35%
22/07/2021,1.355,1.3589,1.3621,1.3516,57.51K,-0.27%
